,price,total sold,condition,color,80s,90s,All Seasons,Band,Breathable,Retro,Sports
126,3299,1,1,2,1,0,1,0,0,0,0
127,5500,1,1,2,0,1,0,0,0,0,0
128,1995,1,3,1,0,0,0,0,0,0,0
129,1600,1,2,2,0,0,0,0,0,0,0
130,1399,154,2,3,0,0,0,0,0,0,0
131,3295,1,2,2,0,0,0,0,0,0,0
132,799,1,3,2,0,0,1,0,0,0,0
133,1599,100,2,3,0,0,0,0,0,0,0
134,1499,1,3,2,0,0,1,0,0,0,0
135,1495,1,3,2,0,0,0,0,0,0,0
136,995,187,2,1,0,0,0,0,0,0,0
137,2099,1,2,2,0,1,1,0,0,0,0
138,4998,1,3,1,0,0,0,0,0,0,0
139,1999,1,3,2,0,0,0,0,0,0,0
140,949,307,3,3,0,0,0,0,0,0,0
141,1899,1,3,2,0,0,0,0,0,0,0
142,1999,264,2,2,0,0,0,0,0,0,0
143,1499,1,3,2,0,0,1,0,0,0,0
144,2299,1,3,2,0,0,0,0,0,0,0
145,664,1,3,2,0,0,0,1,0,0,0
146,1595,1,1,2,0,0,0,0,0,0,0
147,6000,1,1,2,0,1,0,0,0,0,0
148,6500,1,1,2,1,0,1,0,0,0,0
149,759,1,3,2,0,0,0,0,0,0,0
150,1998,1,1,2,0,0,0,0,0,0,0
151,2386,76,3,2,0,0,1,0,1,1,1
152,5000,1,1,2,0,0,0,0,0,0,0
153,4499,1,1,2,0,1,1,0,0,0,0
154,899,1,3,2,0,0,1,0,0,1,0
155,1999,1,3,2,1,1,1,0,1,0,0
156,1999,1,3,3,0,0,0,0,0,1,0
157,1595,1,3,2,0,0,0,0,0,0,0
158,1649,1,3,3,0,0,0,0,0,0,0
159,1443,1,3,3,0,0,0,0,0,0,0
160,1895,1,2,3,0,1,0,0,0,0,1
161,2990,1,2,3,0,0,0,0,0,0,0
162,2499,1,3,2,0,0,0,0,0,0,0
163,1999,1,1,1,0,0,0,0,0,0,0
164,699,1,3,3,0,0,1,0,0,0,1
165,1590,1,3,2,0,0,1,0,0,0,0
166,699,1,3,2,0,0,0,0,0,0,0
167,1899,1,3,2,0,0,0,0,0,0,0
168,7499,1,3,2,0,0,0,0,0,0,0
169,1699,1,3,2,0,0,1,0,0,0,0
170,999,111,3,1,0,0,0,0,0,0,0
171,2695,1,3,3,0,0,0,0,0,0,0
172,1295,1,3,3,0,0,0,0,0,0,0
173,1540,1,3,3,0,0,1,0,0,1,0
174,2550,1,3,2,0,0,0,0,0,0,0
175,1600,73,3,1,0,0,0,0,0,0,0
176,4295,51,3,2,0,0,0,0,0,0,0
177,1099,1,3,2,0,0,0,0,0,0,0
178,2499,1,2,2,0,0,0,0,0,0,0
179,1399,816,2,3,0,0,0,0,0,0,0
180,3999,1,3,2,0,0,0,0,0,0,0
181,999,386,3,3,0,0,0,0,0,0,0
182,1299,1,3,3,0,0,0,0,0,0,0
183,1199,53,3,3,0,0,0,0,0,0,0
184,699,1,3,3,0,0,1,0,0,0,1
185,759,1,3,2,0,0,0,1,0,0,0
186,2200,1,3,3,0,0,0,0,0,0,0
187,6000,1,1,2,0,0,0,1,0,0,0
188,2999,1,2,1,0,0,0,0,0,0,0
189,1099,41,3,2,1,1,0,0,0,0,0
190,1999,564,2,2,1,1,0,0,0,0,0
191,1699,266,3,2,0,0,0,0,0,0,0
192,1699,455,2,1,0,0,0,1,0,0,0
193,2095,43,2,3,0,0,0,0,0,0,0
194,6500,1,1,1,0,0,0,0,0,0,0
195,1699,51,3,2,0,0,0,0,0,0,0
196,1699,102,2,1,1,1,0,1,0,0,0
197,1399,1,3,2,0,0,0,0,0,0,0
198,1599,1,3,1,0,0,1,0,0,1,0
199,949,1,3,2,0,0,1,0,0,0,0
200,2386,167,3,2,0,0,1,0,1,1,1
201,1199,120,3,3,0,0,0,0,0,0,0
202,1599,1,2,2,0,0,0,0,0,0,0
203,1600,490,2,2,1,1,0,1,0,0,0
204,1595,14,3,1,0,0,0,0,0,0,0
205,1999,36,3,2,0,0,1,1,1,0,0
206,3888,270,3,3,0,0,0,0,0,0,0
207,1599,33,2,2,0,0,0,0,0,0,0
208,1699,1,3,2,0,0,0,0,0,0,0
209,1999,513,3,1,0,0,1,0,0,0,0
210,5967,1,1,2,0,0,1,0,1,0,1
211,16500,1,1,1,0,1,0,0,0,0,0
212,664,67,3,2,0,0,0,1,0,0,0
213,664,1,3,2,0,0,0,1,0,0,0
214,1995,90,2,3,0,1,0,0,0,0,1
215,999,38,3,3,0,1,1,0,0,1,0
216,1699,1,2,2,0,0,0,0,0,0,0
217,2386,436,3,2,0,0,1,0,1,1,1
218,2499,1,1,2,0,1,1,0,0,0,0
219,707,78,3,3,0,0,0,0,0,0,0
220,1999,1,3,1,0,0,0,0,0,0,0
221,2999,79,3,3,1,1,0,1,0,0,0
222,1699,286,2,2,0,0,0,0,0,0,0
223,799,1,3,2,0,0,1,0,0,0,0
224,1999,1,3,1,0,0,0,0,0,0,0
225,1995,1,3,2,0,0,0,0,0,0,0
226,1999,1,3,2,0,1,0,0,0,0,0
227,1699,1,3,2,0,0,0,0,0,0,0
228,1299,1,3,2,0,0,0,0,0,0,0
229,1999,26,2,2,0,0,0,0,0,0,0
230,1699,1,3,1,0,0,0,0,0,0,0
231,1599,1,2,3,0,0,0,0,0,0,0
232,1999,149,3,2,0,0,0,0,0,0,0
233,4000,1,1,1,0,0,0,0,0,0,0
234,15500,1,1,2,0,0,1,0,0,0,0
